 pre(mm/d)  tavg(K)  sWBGT(degC) dewpoint(K)  rel_hum(%)  u-Wind_at_10m(m/s)  v-Wind_at_10m(m/s)
               0.000             297.352              23.860             285.623              52.192               0.366               2.046
               0.218             294.805              23.177             287.464              68.377               0.414               0.934
               0.224             295.005              23.192             286.834              66.589               0.779               1.044
               0.062             296.899              23.138             284.705              49.605               0.922               1.635
               0.000             293.479              22.368             287.580              73.563               0.506               1.562
               0.000             294.189              21.884             284.976              61.379               1.646               1.241
               0.000             294.890              21.822             283.635              54.304               0.856               1.491
               0.000             293.184              21.365             285.276              65.854               0.670               1.951
               0.000             292.345              21.051             285.812              71.225               0.832               1.088
               0.139             292.034              20.789             286.021              71.622               1.035               0.854
               0.200             293.072              21.450             286.252              67.941               1.180               0.931
               0.000             292.609              20.915             285.465              66.850               0.426               0.833
               0.094             292.586              20.627             284.230              63.849               0.250               0.401
               0.000             296.059              21.673             281.778              43.185               1.188               0.748
               0.000             295.365              22.218             284.296              53.962               0.967               1.389
               0.000             295.597              22.001             283.481              49.939               1.006               0.888
               0.220             294.202              21.449             284.258              56.817               0.628               1.316
               0.051             291.784              20.874             286.292              75.433               0.528               1.879
               0.000             290.580              19.975             286.104              78.603               0.462               1.892
               0.000             290.418              19.661             285.390              76.546               0.473               0.903
               0.000             291.856              20.698             285.977              72.547               1.147               0.762
               0.000             291.119              19.980             285.118              72.263               1.206               1.219
               0.176             290.247              19.410             284.820              75.366               0.874               1.121
               0.000             290.300              19.731             285.940              78.905               0.665               1.860
               0.105             292.192              21.215             287.108              74.806               1.592               1.623
               0.000             291.900              20.954             286.791              75.055               1.557               1.111
               0.000             290.706              20.272             286.765              80.839               0.951               0.981
               0.006             291.215              20.368             286.360              75.934               0.769               0.317
               0.025             290.512              20.169             286.813              81.931              -0.006               1.648
               0.489             290.353              19.964             286.828              81.268               0.722               1.875
              13.252             289.734              19.767             287.256              86.593               1.656               3.596
               0.000             288.541              17.523             282.106              70.647               1.728               0.198
               0.000             289.393              16.919             278.710              51.932              -0.103              -0.039
